"The Centers for Disease Control and Prevention (CDC) announced that COVID-19, a disease caused by the coronavirus, had been found in toilet paper, and that people should use wet cloths instead",1
"Warm weather will kill coronavirus. U.S. President Donald Trump said he hoped the virus would go away in April 2020 because the ""heat generally speaking kills this kind of virus.""",1
Using a hair dryer to breathe in hot air can cure COVID-19 and stop its spread,1
The Chinese government is building a hospital in 10 days to deal with the new coronavirus,1
"U.S.President Donald Trump referred to the new coronavirus as a ""hoax.""",1
U.S.Vice President Mike Pence took over the Trump administration's response to an outbreak of a new coronavirus. He Touch NASA gear labeled ‘Do Not Touch,1
The U.S.government has since taken steps to roll out widespread testing for the coronavirus disease at no cost to patients,1
Videos show people collapsing on the street due to coronavirus,1
There is no risk of spread through sweat,1
You will get a free coronavirus test by donating blood,1
"With deaths spiking in Iran and Italy and infections spreading quickly through Europe, the Mideast and the Americas, countries were considering new drastic measures to curb the new coronavirus",1
The Trump administration recently announced plans for a $1 trillion emergency stimulus package to alleviate economic strain caused by the coronavirus pandemic,1
"The U.S.government is sending out hundreds of dollars per week to each U.S.citizen “starting from either March 16 or March 17, depending on the post",1
"Viral posts on social media claim COVID-19 is no worse than other outbreaks that have occurred in “every election year, suggesting that the new coronavirus is being “hyped to hurt President Donald Trump",1
The coronavirus is not so harmful. It was the least deadly and most-hyped by the media,1
Vitamin C can stop the new coronavirus,1
"The coronavirus was man-made, rather than the natural result of people coming into contact with wild animals",1
The coronavirus was created by a Chinese spy team,1
"There are “thousands or  10,000 dead as a result of the Wuhan coronavirus.",1
You should gargle with disinfectant to stop the virus entering the lungs,1
The French health minister warned people with the new coronavirus against taking ibuprofen,1
World Health Organization warns against eating cabbage during COVID-19 pandemic,1
The new coronavirus is 400-500 micro and for this reason wide enough to be stopped by masks,1
"To test for the new coronavirus, take a deep breath and hold for more than 10 seconds. If you complete it successfully without coughing, discomfort, stuffiness or tightness it proves there is no fibrosis in the lungs, basically indicating no infection",1
The New York Times exposed the real reason behind coronavirus hype: Crash the market to harm Trump’s re-election chances,1
The WHO coronavirus test “was a bad test.,1
The CDC in U.S.opted to develop its own coronavirus test and did not use the WHO’s protocol for the test,1
You can monitor yourself for COVID-19 with a breath test,1
Tom Hanks has a volleyball to keep him company while he’s quarantined,1
"The Itali government’s extraordinary measures, announced at Palazzo Chigi late on 9 March, comes amid a worsening of the coronavirus outbreak. The new stringent measures, covering the entire country, and would take effect tomorrow morning",1
Trump shakes hands with CPAC Chairman  President Trump has come into contact with a potential coronavirus sufferer,1
"The coronavirus discovered in Wuhan, China, was staged to cover-up the public health crisis caused by the intensive 5G roll-out in Wuhan in 2019",1
The United States is actually screening fewer people (for the coronavirus than other countries) because we don't have appropriate testing,1
"The blood test for coronavirus costs $3,200",1
The CDC recommends men shave their beards to protect against coronavirus,1
You should wear the colored side of the mask on the outside when you are sick and the white side on the outside when you are healthy,1
"The proof that this virus is a genetically-modified Bat-SARS-Like Virus, manipulated by the Chinese Army, appears below",1
The coronavirus isn’t new because “Lysol has it listed as one of the viruses that it kills,1
The Department of Health and Human Services on Thursday implemented President Trump’s executive order to prevent the hoarding of certain health and medical resources necessary to respond to the coronavirus outbreak,1
Two of the world's biggest pop stars are giving back to their fans as the coronavirus pandemic has left many out of work and without paychecks,1
The $2 trillion spending package to boost the economy in response to the coronavirus crisis includes a $350 million pot of money for “Migration and Refugee Assistance -- the latest item in the legislative behemoth that is angering critics,1
"The United States ""refused"" COVID-19 diagnostic tests offered by the World Health Organization",1
"The Environmental Protection Agency (EPA) suspended its enforcement of a variety of environmental laws on Thursday, saying that industries could have trouble complying with them due to the coronavirus pandemic.",1
Trump campaign offices to stay closed through April because of coronavirus,1
The Senate stimulus compromise package aimed at helping Americans cope with the economic woes caused by the coronavirus crisis includes millions for the arts,1
"The major religions -- Christianity, Judaism, and Islam -- are adapting to virtual rituals as the coronavirus pandemic causes many to shut their doors to faithful followers",1
The Archdiocese of Los Angeles Tuesday announced that all churches will be closed to the public until at least April 19 due to the coronavirus outbreak.,1
"The American Red Cross is doubling down on calls for healthy Americans, especially millennials and Gen Zs, to donate blood amid the coronavirus outbreak",1
"The largest hotel company in the world, Marriott International Inc., announced Sunday it will furlough thousands of corporate employees across the globe as the company is forced to scale back due to the coronavirus pandemic",1
It has yet to target the BJP and has even been praising Prime Minister Narendra Modi's leadership while pointing its finger at Nitish Kumar.,1
"To date, Chirag Paswan's party has refrained from targeting the BJP and has even lauded Prime Minister Narendra Modi's leadership, while keeping Nitish Kumar as a target.",1
"The Chirag Paswan-head party has so far refrained from targeting the BJP and has even praised PM Narendra Modi's leadership, while keeping Nitish Kumar in the crosshairs.",1
"It has long been difficult for the LJP, whose founder Ram Vilas Paswan is a minister in the Modi government, and the JD(U) to cooperate, but Manjhi's entry into the NDA has aggravated this situation.",1
"Ram Vilas Paswan, the LJP's founder and a minister in PM Modi's government, has long been at odds with the JD(U), but Manjhi's entry into the NDA has heightened it.",1
"It is well known that the LJP-JD(U) relations are far from smooth, with Ram Vilas Paswan, the party's founder, serving in the Modi government as a minister. Manjhi's entry into the NDA has only exacerbated this tension.",1
"Manjhi's entry into the NDA has aggravated the LJP's animosity towards the JD(U), among which Ram Vilas Paswan is a minister in the Modi government.",1
"Despite the fact that Ram Vilas Paswan is a minister in the Modi government, the LJP's relationship with JD(U) has been strained for years, but Manjhi's entry into the NDA has added to the frustration.",1
"Although the LJP has had a bad relationship with the JD(U), whose founder Ram Vilas Paswan serves in the Modi government, Manjhi's entry into the NDA only piqued the ire of the LJP.",1
"As it has long been far from smooth between the LJP, whose founder Ram Vilas Paswan is a Cabinet minister in Modi's government, and the JD(U), Manjhi's inclusion in the NDA has only intensified its animosity.",1
"Ram Vilas Paswan, the founder of the LJP, serves in the Modi government, which has long been hostile to the JD(U). Manjhi's election to the NDA has fuelled this animosity.",1
"While the LJP and the JD(U) have long had far from harmonious relations, Ram Vilas Paswan's entry into the NDA has aggravated the ties between the two parties.",1
"It has long been a contentious relationship between the LJP, whose founder Ram Vilas Paswan is a minister in the Modi government, and the JD(U), but Manjhi's joining the NDA has only deepened its animosity.",1
"Manjhi, who hails from the Scheduled Castes like Paswan, has a history of attacking the leadership of the LJP in order to project himself as a Dalit leader.",1
"In a bid to portray himself as a leader for Dalits in the state, Manjhi, who comes from Scheduled Castes like Paswan, repeatedly attacks the LJP leadership.",1
It has been Manjhi's history to attack the LJP leadership while projecting himself as a leader of Dalits in Maharashtra.,1
