Global stock markets tumbled due to fears of the economic fallout from the outbreak in the world's second-largest economy.,1
"As a result of fears over the economic fallout from the outbreak in the world's second-largest economy, stocks have plunged around the world.",1
"Around the world, stocks have fallen amid fears that the outbreak in the second-largest economy could have dire economic consequences.",1
"On Wednesday, stocks around the world tumbled on concerns about the economic fallout of the spread of the virus in the world's second-largest economy.",1
Several markets have fallen worldwide following fears of economic fallout from an outbreak in the world's second-largest economy.,1
"Around the world, stocks have been tumbling over fears of the economic fallout from the outbreak in the world's second-largest economy.",1
"""The results will shock everyone,"" she says confidently.",1
"She exudes confidence as she says, ""The results will surprise everyone."".",1
She exudes confidence as she predicts a shocker in the results.,1
She is confident that the results will surprise everyone.,1
"""The results will surprise everyone,"" she says exuding confidence.",1
"The results will shock everyone,"" she predicts with confidence.",1
"Confidently, she states, ""You will be shocked"" by the results.",1
"As she exudes confidence, she predicts ""the results will shock everyone"".",1
"It will be an absolute shocker for everyone, she declares, expressing great confidence.",1
"Her confidence exudes confidence as she declares ""the results will shock everyone.""",1
Criminals will flee after Mulayam's defeat.,1
Mulayam's defeat will lead to criminals turning their backs.,1
The criminals will turn their backs upon Mulayam's defeat.,1
Muralitha's defeat will make criminals turn their backs.,1
Mulayam's defeat will cause criminals to turn their backs.,1
Crimes will turn tail after Mulayam's defeat.,1
"Upon Mulayam's defeat, the criminals will flee.",1
Muralitha's defeat will send criminals running.,1
"To the relief of the examinees, the paper followed the expected pattern.",1
"The paper was on the anticipated lines, much to the relief of the examinees.",1
It was a relief to the examinees that the paper followed the expected pattern.,1
"As expected, the paper was on track.",1
"This paper was exactly as expected by the examinees, to their great relief.",1
"For the examinees' relief, the paper followed the expected line of reasoning.",1
"Thankfully, the paper followed the expected pattern, much to the relief of the examinees.",1
It came as a relief to the examinees when the paper was on track.,1
"Thankfully, the paper was on target, much to the relief of the examinees.",1
"Congress, in any case, is unlikely to be able to help.",1
Congress would be hard-pressed to help in any case.,1
"In any case, Congress would hardly be in a position to assist.",1
Any help from Congress would be unlikely.,1
"Moreover, Congress is unlikely to be able to assist.",1
"In any event, Congress is unlikely to be of assistance.",1
The Congress would hardly be able to help in any case.,1
A Congress that wouldn't be able to take action would be difficult.,1
"Anyhow, Congress is unlikely to be of much help.",1
"Furthermore, Congress is unlikely to be able to help in this case.",1
Kashimira police have cracked a sensational murder case in which an Ayurvedic doctor was killed in April.,1
"This April, the Kashimira police have solved a sensational murder case involving an ayurvedic doctor.",1
"Police in Kashimir have solved the case of the ayurvedic doctor murdered in April of this year, a sensational murder case.",1
Kashimira police nabbed the killer of an ayurvedic doctor in April this year.,1
"In April, the Kashimira police investigated a sensational murder case involving a victim who was an ayurvedic doctor.",1
The Kashimira police have cracked the case of an ayurvedic doctor whose murder took place this April.,1
